iter	Passed	Remaining
0	115	114901
1	116	58109
2	118	39226
3	119	29757
4	121	24088
5	124	20641
6	127	18029
7	129	16084
8	132	14601
9	133	13262
10	135	12173
11	137	11297
12	139	10623
13	141	9980
14	143	9423
15	144	8904
16	146	8446
17	147	8039
18	149	7694
19	150	7375
20	151	7077
21	154	6848
22	155	6600
23	156	6369
24	157	6159
25	159	5975
26	161	5805
27	162	5642
28	163	5484
29	165	5342
30	167	5241
31	169	5115
32	170	4992
33	171	4885
34	173	4781
35	174	4677
36	176	4586
37	177	4494
38	179	4413
39	180	4334
40	182	4263
41	183	4192
42	185	4127
43	186	4053
44	187	3985
45	189	3920
46	190	3866
47	191	3805
48	193	3754
49	195	3720
50	197	3669
51	198	3617
52	199	3567
53	201	3521
54	202	3481
55	203	3437
56	205	3397
57	206	3358
58	208	3325
59	210	3303
60	212	3267
61	213	3234
62	215	3198
63	216	3163
64	217	3132
65	219	3100
66	220	3073
67	221	3037
68	222	3005
69	224	2981
70	226	2958
71	227	2937
72	229	2910
73	230	2883
74	231	2859
75	233	2837
76	234	2812
77	236	2789
78	237	2771
79	239	2749
80	240	2726
81	241	2704
82	243	2686
83	244	2666
84	245	2643
85	247	2625
86	248	2604
87	249	2590
88	251	2577
89	253	2563
90	255	2549
91	257	2541
92	259	2527
93	260	2511
94	262	2496
95	263	2479
96	264	2463
97	266	2453
98	268	2447
99	270	2434
100	272	2422
101	272	2402
102	274	2388
103	275	2374
104	276	2360
105	278	2349
106	280	2341
107	302	2494
108	303	2484
109	305	2472
110	307	2460
111	308	2445
112	309	2431
113	311	2419
114	313	2412
115	315	2401
116	316	2390
117	318	2378
118	319	2365
119	320	2352
120	322	2339
121	323	2329
122	324	2313
123	326	2306
124	328	2297
125	329	2286
126	331	2276
127	332	2262
128	333	2251
129	334	2241
130	336	2230
131	337	2219
132	338	2209
133	340	2201
134	342	2193
135	343	2184
136	345	2175
137	346	2166
138	348	2156
139	350	2152
140	351	2143
141	353	2134
142	354	2125
143	356	2117
144	357	2109
145	359	2100
146	360	2092
147	362	2084
148	364	2079
149	365	2072
150	367	2065
151	368	2058
152	370	2050
153	371	2042
154	373	2034
155	374	2025
156	375	2016
157	376	2008
158	378	2002
159	380	1995
160	381	1987
161	382	1978
162	383	1971
163	385	1964
164	386	1956
165	388	1949
166	389	1942
167	390	1935
168	392	1927
169	393	1922
170	395	1916
171	396	1910
172	398	1904
173	399	1897
174	401	1890
175	402	1883
176	403	1876
177	405	1870
178	406	1863
179	408	1859
180	409	1851
181	410	1843
182	411	1837
183	412	1831
184	414	1826
185	415	1819
186	417	1813
187	418	1806
188	419	1801
189	421	1794
190	422	1790
191	424	1785
192	425	1779
193	426	1773
194	428	1767
195	429	1761
196	430	1755
197	432	1750
198	433	1745
199	434	1739
200	436	1735
201	437	1730
202	439	1725
203	440	1720
204	442	1714
205	443	1709
206	444	1703
207	446	1698
208	447	1693
209	448	1688
210	450	1684
211	452	1680
212	453	1675
213	455	1671
214	456	1666
215	457	1662
216	459	1657
217	460	1652
218	461	1647
219	463	1642
220	464	1637
221	466	1634
222	467	1629
223	469	1625
224	470	1621
225	472	1617
226	473	1612
227	475	1608
228	476	1603
229	477	1598
230	478	1594
231	480	1591
232	482	1587
233	483	1583
234	485	1579
235	486	1574
236	487	1570
237	489	1566
238	490	1561
239	491	1557
240	493	1553
241	495	1550
242	496	1546
243	497	1542
244	499	1538
245	500	1535
246	502	1530
247	503	1526
248	505	1523
249	506	1518
250	507	1515
251	509	1512
252	510	1508
253	512	1504
254	513	1500
255	514	1496
256	516	1492
257	517	1489
258	519	1485
259	520	1481
260	521	1476
261	523	1474
262	524	1470
263	526	1466
264	527	1462
265	528	1458
266	530	1455
267	531	1451
268	532	1447
269	533	1443
270	535	1440
271	537	1437
272	538	1434
273	540	1431
274	541	1427
275	543	1424
276	544	1420
277	545	1416
278	547	1413
279	548	1410
280	550	1407
281	552	1405
282	553	1402
283	555	1399
284	556	1395
285	557	1391
286	558	1387
287	559	1384
288	561	1380
289	562	1377
290	563	1373
291	565	1369
292	566	1367
293	568	1364
294	569	1361
295	570	1357
296	572	1354
297	573	1350
298	574	1347
299	575	1343
300	577	1340
301	578	1337
302	579	1334
303	581	1331
304	582	1327
305	584	1324
306	585	1321
307	586	1318
308	588	1314
309	589	1311
310	590	1308
